page-links,page-links-href,title,authors,conference,link
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Learning to Rank Answers to Non-Factoid Questions from Web Collections,"Mihai Surdeanu, Massimiliano Ciaramita, Hugo Zaragoza","Computational Linguistics, vol. 37 (2011), pp. 351-383",/pubs/archive/37119.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Trickle: Rate Limiting YouTube Video Streaming,"Monia Ghobadi, Yuchung Cheng, Ankur Jain, Matt Mathis","Proceedings of the USENIX Annual Technical Conference (2012), pp. 6",/pubs/archive/38103.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Helping You Protect You,"M. Angela Sasse, Charles C. Palmer, Markus Jakobsson, Sunny Consolvo, Rick Wash, L. Jean Camp","IEEE (2014), pp. 39-42",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Reducing Lookups for Invariant Checking,"Jakob G. Thomsen, Christian Clausen, Kristoffer J. Andersen, Erik Ernst, John Danaher",Proceedings of ECOOP 2013 (to appear),
Education Innovation,http://research.google.com/pubs/EducationInnovation.html,Can a 2-hour Visit to a Hi-Tech Company Increase Interest in and Change Perceptions about Computer Science?,"Larisa Eidelman, Orit Hazzan, Tami Lapidot, Yossi Matias, Daniela Raijman, Michal Segalov","ACM Inroads, vol. 2, Issue 3 (2011)",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Logical Attestation: An Authorization Architecture for Trustworthy Computing,"Emin Gun Sirer, Willem de Bruijn, Patrick Reynolds, Alan Shieh, Kevin Walsh, Dan Williams, Fred B. Schneider","Proceedings of the 23rd ACM Symposium on Operating System Principles, ACM, New York, NY, USA (2011)",
Networking,http://research.google.com/pubs/Networking.html,LatLong: Diagnosing Wide-Area Latency Changes for CDNs,"Yaping Zhu, Benjamin Helsley, Jennifer Rexford, Aspi Siganporia, Sridhar Srinivasan","IEEE Transactions on Network and Service Management, vol. 9 (2012) (to appear)",/pubs/archive/38239.pdf
Networking,http://research.google.com/pubs/Networking.html,Computing TCP's Retransmission Timer,"Vern Paxson, Mark Allman, H.K. Jerry Chu, Matt Sargent",IETF (2011),
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Optimizing Touchscreen Keyboards for Gesture Typing,"Brian Smith, Xiaojun Bi, Shumin Zhai","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems (CHI 2015), ACM, New York, NY, USA, 10 pages.",/pubs/archive/43271.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Language-Independent Sandboxing of Just-In-Time Compilation and Self-Modifying Code,"Jason Ansel, Petr Marchenko, Ulfar Erlingsson, Elijah Taylor, Brad Chen, Derek Schuff, David Sehr, Cliff L. Biffle, Bennet S. Yee","ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI), ACM SIGPLAN, New York, NY, USA. (2011)",/pubs/archive/37204.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,LSH Banding for Large-Scale Retrieval with Memory and Recall Constraints,"Michele Covell, Shumeet Baluja","International Conference on Acoustics, Speech, and Signal Processing, IEEE (2009)",/pubs/archive/35244.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,"Fulfilling the Hypermedia Constraint Via HTTP OPTIONS, the HTTP Vocabulary In RDF, and Link Headers","Thomas Steiner, Jan Algermissen","Proceedings of the Second International Workshop on RESTful Design, ACM, New York, NY, USA (2011), pp. 11-14",/pubs/archive/37429.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Directed Enzymatic Activation of 1-D DNA Tiles,"Sudhanshu Garg, Harish Chandran, Nikhil Gopalkrishnan, Thomas H. LaBean, John Reif",ACS Nano (2015),
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,When Does Improved Targeting Increase Revenue?,"Patrick Hummel, Preston McAfee","Proceedings of the 24th International Conference on the World Wide Web (WWW) (2015), pp. 462-472",
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Grapheme-to-Phoneme Conversion Using Long Short-Term Memory Recurrent Neural Networks,"Kanishka Rao, Fuchun Peng, Hasim Sak, Francoise Beaufays",ICASSP (2015),/pubs/archive/43264.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Please Permit Me: Stateless Delegated Authorization in Mashups,"Ragib Hasan, Marianne Winslett, Richard Conlan, Brian Slesinsky, Nandakumar Ramani","Proceedings of the Annual Computer Security Applications Conference, IEEE Press, Anaheim, CA (2008), pp. 173-182",/pubs/archive/35042.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,The Need for Music Information Retrieval with User-Centered and Multimodal Strategies,"Cynthia C.S. Liem, Meinard Muller, Douglas Eck, George Tzanetakis, Alan Hanjalic","MIRUM '11, ACM, Scottsdale, Arizona (2011), pp. 1-6",
General Science,http://research.google.com/pubs/GeneralScience.html,The rewards of ACM's awards,Stuart I. Feldman,"Commun. ACM, vol. 50 (2007), pp. 17-18",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Eliminating Dependent Pattern Matching,"Healfdene Goguen, Conor McBride, James McKinna","Essays Dedicated to Joseph A. Goguen, Springer, Heidelberg, Germany (2006), pp. 521-540",/pubs/archive/99.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Language Modeling Capitalization,"Francoise Beaufays, Brian Strope","Proc ICASSP, IEEE (2013) (to appear)",/pubs/archive/41157.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Distribution Kernels Based on Moments of Counts,"Corinna Cortes, Mehryar Mohri","Proceedings of the Twenty-First International Conference on Machine Learning (ICML 2004), Banff, Alberta, Canada",
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Online Matching and Ad Allocation,Aranyak Mehta,"Foundations and Trends in Theoretical Computer Science, vol. 8 (4) (2013), pp. 265-368",/pubs/archive/41870.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Training Highly Multi-class Linear Classifiers,"Maya R. Gupta, Samy Bengio, Jason Weston","Journal Machine Learning Research (JMLR) (2014), 1461-[?]1492",/pubs/archive/41872.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Norovirus Disease Surveillance Using Google Internet Query Share Data,"Rishi Desai, Aron J. Hall, Benjamin A. Lopman, Yair Shimshoni, Marcus Rennick, Niv Efron, Yossi Matias, Manish M. Patel, Umesh D. Parashar",Clinical Infectious Diseases (2012),
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Access Control,Ben Laurie,"Google, Inc. (2008)",/pubs/archive/35072.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Inferring causal impact using Bayesian structural time-series models,"Kay H. Brodersen, Fabian Gallusser, Jim Koehler, Nicolas Remy, Steven L. Scott","Annals of Applied Statistics, vol. 9 (2015), pp. 247-274",/pubs/archive/41854.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,On Reconstructing a Hidden Permutation,"Flavio Chierichetti, Anirban Dasgupta, Ravi Kumar, Silvio Lattanzi",RANDOM (2014),
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Efficient Face Orientation Discrimination,"Shumeet Baluja, Mehran Sahami, Henry A. Rowley",International Conference on Image Processing (ICIP-2004),/pubs/archive/28.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Latent Factor Models with Additive Hierarchically-smoothed User Preferences,"Amr Ahmed, Bhargav Kanagal, Sandeep Pandey, Vanja Josifovski, Lluis Garcia-Pueyo",Proceedings of The 6th ACM International Conference on Web Search and Data Mining (WSDM) (2013) (to appear),/pubs/archive/40490.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Posterior Sparsity in Dependency Grammar Induction,"Jennifer Gillenwater, Kuzman Ganchev, Joao Graca, Fernando Pereira, Ben Taskar","Journal of Machine Learning Research, vol. 12 (2011), pp. 455-490",/pubs/archive/38281.pdf
Machine Translation,http://research.google.com/pubs/MachineTranslation.html,Learning linear ordering problems for better translation,"Roy Tromble, Jason Eisner","EMNLP '09: Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing, Association for Computational Linguistics, Morristown, NJ, USA, pp. 1007-1016",
Data Management,http://research.google.com/pubs/DataManagement.html,Photon: Fault-tolerant and Scalable Joining of Continuous Data Streams,"Rajagopal Ananthanarayanan, Venkatesh Basker, Sumit Das, Ashish Gupta, Haifeng Jiang, Tianhao Qiu, Alexey Reznichenko, Deomid Ryabkov, Manpreet Singh, Shivakumar Venkataraman","SIGMOD '13: Proceedings of the 2013 international conference on Management of data, ACM, New York, NY, USA, pp. 577-588",/pubs/archive/41318.pdf
Machine Translation,http://research.google.com/pubs/MachineTranslation.html,Hierarchical Phrase-Based Translation Representations,"Gonzalo Iglesias, Cyril Allauzen, William Byrne, Adria de Gispert, Michael Riley",Proceedings of EMNLP 2011,/pubs/archive/37167.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,High precision retrieval using relevance-flow graph,"Jangwon Seo, Jiwoon Jeon","SIGIR '09: Proceedings of the 32nd international ACM SIGIR conference on Research and development in information retrieval, ACM, New York, NY, USA (2009), pp. 694-695",
General Science,http://research.google.com/pubs/GeneralScience.html,Haplotype Inference Constrained by Plausible Haplotype Data,"Michael R. Fellows, Tzvika Hartman, Danny Hermelin, Gad M. Landau, Frances Rosamond, Liat Rozenberg","CPM '09: Proceedings of the 20th Annual Symposium on Combinatorial Pattern Matching, Springer-Verlag, Berlin, Heidelberg (2009), pp. 339-352",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Competition and Fraud in Online Advertising Markets,"Bob Mungamuru, Stephen A. Weis",Financial Cryptography (2008),/pubs/archive/34324.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Vanity or Privacy? Social Media as a Facilitator of Privacy and Trust,Jessica Staddon,CSCW Workshop: Reconciling Privacy with Social Media (2012),/pubs/archive/37673.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Building a Sentiment Summarizer for Local Service Reviews,"Sasha Blair-Goldensohn, Kerry Hannan, Ryan McDonald, Tyler Neylon, George Reis, Jeff Reynar",WWW Workshop on NLP Challenges in the Information Explosion Era (NLPIX) (2008),/pubs/archive/34368.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Extreme Data Mining,Sridhar Ramaswamy,"Proceedings 2008 ACM SIGMOD International Conference on Management of Data, ACM, Vancouver, pp. 1-2",
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Personalized News Recommendation Based on Click Behavior,"Jiahui Liu, Elin Pedersen, Peter Dolan",2010 International Conference on Intelligent User Interfaces,/pubs/archive/35599.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Tutorial summary: Convergence of natural dynamics to equilibria,"Eyal Even-Dar, Vahab S. Mirrokni","ICML (2009), pp. 173",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Low Cost Correction of OCR Errors Using Learning in a Multi-Engine Environment,"Ahmad Abdulkader, Matthew R. Casey","Proceedings of the 10th international conference on document analysis and recognition, IEEE (2009)",/pubs/archive/35525.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Deep Neural Networks for Object Detection,"Christian Szegedy, Alexander Toshev, Dumitru Erhan",Advances in Neural Information Processing Systems (2013),/pubs/archive/41457.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Clustering Billions of Images with Large Scale Nearest Neighbor Search,"Ting Liu, Chuck Rosenberg, Henry A. Rowley","IEEE Workshop on Applications of Computer Vision, IEEE (2007)",/pubs/archive/32616.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,"Modelling Events through Memory-based, Open-IE Patterns for Abstractive Summarization","Daniele Pighin, Marco Cornolti, Enrique Alfonseca, Katja Filippova","Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics (ACL'14) (2014), pp. 892-901",/pubs/archive/42470.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Fast and Secure Three-party Computation: The Garbled Circuit Approach,"Payman Mohassel, Mike Rosulek, Ye Zhang","The 22nd ACM Conference on Computer and Communications Security, ACM (2015) (to appear)",/pubs/archive/43888.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Understanding Tablet Use: A Multi-Method Exploration,"Hendrik Muller, Jennifer L. Gove, John S. Webb","Proceedings of the 14th Conference on Human-Computer Interaction with Mobile Devices and Services (Mobile HCI 2012), ACM",/pubs/archive/38135.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Identifying Surrogate Geographic Research Regions with Advanced Exact Test Statistics,Steven Ellis,"American Marketing Association Advanced Research Techniques Forum (2013), Poster",/pubs/archive/41379.pdf
Networking,http://research.google.com/pubs/Networking.html,Usage Patterns in an Urban WiFi Network,"Mikhail Afanasyev, Tsuwei Chen","IEEE/ACM Transactions on Networking, vol. 18 , Issue: 5 (2010), 1359 - 1372",/pubs/archive/39965.pdf
Networking,http://research.google.com/pubs/Networking.html,Portable and Performant Userspace SCTP Stack,"Brad Penoff, Alan Wagner, Michael Tuexen, Irene Ruengeler","Computer Communications and Networks (ICCCN), 2012 21st International Conference on, IEEE",/pubs/archive/40282.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Approximation Schemes for Capacitated Geometric Network Design,"Anna Adamaszek, Artur Czumaj, Andrzej Lingas, Jakub Onufry Wojtaszczyk","ICALP 2011, Rynek Glowny 12 (to appear)",/pubs/archive/37374.pdf
